dmdcode,bnf
116575001000027107,04070200
116645001000027101,09020200
116711000001106,02060200
116755001000027108,06030000
116815001000027100,01070200
116865001000027101,06030200
116915001000027109,06030200
116995001000027105,02060200
117011000001107,02050502
11718411000001108,03090100
11723411000001109,03110000
117311000001105,04080100
117335001000027107,01070200
11735001000027104,09010101
117385001000027104,03040100
11751411000001109,01010200
11751911000001101,01010200
11752411000001104,02050400
11754311000001104,09040251
11758911000001105,06040102
11760111000001104,03040101
11762011000001101,10010301
11762111000001100,04070100
11762911000001102,08020405
11763111000001106,03040101
11763211000001100,04020100
117635001000027101,10010100
11763711000001107,01010100
117655001000027102,09020200
11768711000001101,01070100
117695001000027108,09050101
11770711000001108,01010101
11772411000001101,01070100
11773711000001104,09060700
11774111000001103,09060700
117745001000027109,09060300
11774511000001107,09060700
11774811000001105,09060300
11775011000001100,09060300
11777311000001105,01010202
11779111000001102,09060700
117795001000027101,08030401
11780611000001105,09040251
117845001000027106,09060400
11787111000001101,09060300
11787211000001107,09060300
117875001000027107,09060400
11788211000001106,09040251
117885001000027102,03020000
11788611000001108,09060400
117911000001106,04020101
117955001000027103,03020000
118045001000027102,02050400
11811611000001101,04100200
11811811000001102,04105100
11812011000001100,04105100
11815111000001106,04090100
11815411000001101,04070200
118185001000027101,04070100
118215001000027100,03090100
118275001000027108,08020401
11835611000001107,01050200
118395001000027109,06020200
118405001000027101,06020200
11851311000001100,06010600
11852311000001109,06010600
11855001000027103,04070100
118555001000027101,03010200
118565001000027105,03010200
118585001000027108,04070130
118605001000027104,03010400
118615001000027102,03010400
118625001000027106,04070100
118645001000027109,04030100
118755001000027102,03090100
118775001000027104,04070100
11879711000001104,02050501
11879911000001102,02050501
11880411000001105,01050200
118811000001102,02060200
118815001000027105,04070100
118875001000027102,03010400
118885001000027107,04070401
118925001000027105,02060200
11894511000001104,09040300
11915001000027104,04070200
119165001000027101,09060500
119211000001108,02060200
119235001000027108,09020200
11930411000001105,09060400
119311000001100,04020200
11932211000001107,09040100
11932411000001106,09040100
11932611000001109,09040100
11932811000001108,09040100
11933011000001106,06010102
119345001000027103,02060100
11934911000001107,10010100
119365001000027109,02060100
119411000001107,04030100
119445001000027108,04070200
119475001000027109,02060100
119585001000027105,09010101
119605001000027101,02060100
11960911000001108,02050503
11961711000001103,02050503
119655001000027109,10010400
119765001000027108,06010101
119805001000027105,06010120
119835001000027101,06010102
11985311000001102,04070200
119895001000027108,06010102
119945001000027105,06010102
12005911000001107,09060700
120075001000027100,06010203
120085001000027105,06010101
120145001000027109,06010101
120205001000027101,06010120
12021011000001104,04030300
12021111000001103,04030300
120225001000027108,06010102
120275001000027107,02040000
12030411000001102,06030100
12032911000001109,09010200
120335001000027101,03020000
12033911000001102,09010200
12036211000001104,02020200
12036311000001107,02020200
12037411000001103,04070200
120415001000027103,09060300
120435001000027109,09070000
12043511000001108,09010350
120445001000027105,09040000
12044611000001105,09010350
12045211000001109,09010350
120465001000027104,04010100
12046611000001101,09010350
120511000001105,09040251
120515001000027105,01070100
120525001000027101,01060400
120535001000027104,01060400
120555001000027100,02010100
12056511000001102,04030400
120685001000027104,02040000
120695001000027100,02040000
120715001000027106,04090100
120725001000027102,04090100
120745001000027104,09020200
120765001000027105,09020200
120775001000027103,04090100
120785001000027108,04090100
120795001000027107,04090100
120811000001108,06010201
120815001000027109,04090100
12081511000001102,04065500
120825001000027100,04090100
120835001000027103,09060700
12083611000001104,02050400
120845001000027102,04090100
12084811000001102,02050400
120855001000027104,04090100
120865001000027108,04090100
12087711000001103,02020200
12088211000001109,02020200
120885001000027106,09060400
120911000001103,02020100
120945001000027107,09060200
12095001000027109,04010200
120985001000027103,09060200
121055001000027109,09060100
1211000001102,04030300
121111000001107,10030250
121285001000027105,10010500
12131111000001109,04070200
12134611000001104,04065400
121375001000027108,04020300
12142111000001100,04070200
121445001000027102,04020300
12144611000001100,06010101
12144811000001101,09040300
12145211000001101,09040252
12146911000001103,03010200
12149711000001105,09040100
12155001000027107,02060200
121555001000027107,02040000
121565001000027103,02040000
12158011000001101,10010500
121625001000027102,09050400
121635001000027100,04010100
121711000001108,02040000
121835001000027109,03010101
121845001000027105,03010101
12185411000001107,09040251
12185611000001105,09040300
12185711000001101,10010500
121875001000027106,01030100
121885001000027101,01030100
121925001000027103,04020100
12197411000001102,03010200
122035001000027109,01010100
12210611000001101,10030250
12211000001107,07040200
122111000001102,09040251
12211411000001108,09060100
122155001000027104,09060700
122325001000027108,03020000
12234911000001107,04110000
12235211000001102,04110000
122385001000027102,01070200
122411000001107,02030201
12241911000001105,04110000
122435001000027102,02050300
122645001000027103,04090200
